"common_name","code","sci_name","code6","PassNonPass","IOCOrder","BLFamilyLatin","BLFamilyEnglish","BLFamSequID","Taxo","English","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","ForStrat.SpecLevel","Nocturnal","Family","Order","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Diet.FruitSeed","Pollinator","SeedDisperser","Insectivore"
"Red-tailed Hawk","RTHA","Buteo jamaicensis","BUTJAM","Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles",36,"BL3","Red-tailed Hawk",10,60,30,0,0,0,0,0,0,0,"VertFishScav",0,0,0,0,33,33,33,0,1,0,"Accipitridae","Accipitriformes",5,2,3,0,4,37.6,22.9,14.4,20.2,80.9,402.8,139.9,270.8,34.1,212.2,1101.2,"Woodland",2,3,"Carnivore","Vertivore","Insessorial",0,0,0,0
"Red-winged Blackbird","RWBL","Agelaius phoeniceus","AGEPHO","Passeriformes","Passeriformes","Icteridae","New World blackbirds",190,"BL3","Red-winged Blackbird",50,0,0,0,0,0,0,0,50,0,"Omnivore",0,0,90,10,0,0,0,0,1,0,"Icteridae","Passeriformes",7,2,5,0,6,22.7,15.4,5.6,8.8,28,118,27.8,88.9,24,88.9,50.8,"Wetland",3,3,"Herbivore","Granivore","Generalist",50,0,1,1
"Redhead","REDH","Aythya americana","AYTAME","Nonpasseriformes","Anseriformes","Anatidae","Ducks, geese and swans",14,"BL3","Redhead",10,0,0,0,0,0,0,0,20,70,"PlantSeed",50,50,0,0,0,0,0,0,1,0,"Anatidae","Anseriformes",5,2,3,0,4,49.7,33,18.8,14.6,35.7,218.6,104.6,122.4,46,56,1075.7,"Wetland",3,3,"Herbivore","Herbivore aquatic","Aquatic",20,0,0,0
"Ridgway's Rail","RIRA","Rallus obsoletus","RALOBS","Nonpasseriformes","Gruiformes","Rallidae","Rails, crakes and allies",42,"BL3","Clapper Rail",30,10,10,10,0,0,10,0,10,20,"Omnivore",10,40,40,10,0,0,0,0,1,0,"Rallidae","Gruiformes",4,3,1,0,4,62.1,37.5,5.7,8.4,50.2,147.8,34.8,112.9,23.5,55.8,342,"Coastal",1,2,"Carnivore","Aquatic predator","Terrestrial",20,0,0,0
"Ring-billed Gull","RBGU","Larus delawarensis","LARDEL","Nonpasseriformes","Charadriiformes","Laridae","Gulls and terns",61,"BL3","Ring-billed Gull",30,10,0,30,0,20,0,0,10,0,"VertFishScav",20,10,70,0,0,0,0,0,1,0,"Laridae","Charadriiformes",5,2,2,1,4,48.1,19.6,6.2,13,51.2,366,205.5,160,56.2,133.2,516.3,"Coastal",3,2,"Carnivore","Omnivore","Terrestrial",10,0,0,0
"Ring-necked Duck","RNDU","Aythya collaris","AYTCOL","Nonpasseriformes","Anseriformes","Anatidae","Ducks, geese and swans",14,"BL3","Ring-necked Duck",20,0,0,0,0,0,0,0,20,60,"PlantSeed",0,100,0,0,0,0,0,0,1,0,"Anatidae","Anseriformes",5,2,3,0,4,51.4,29.9,18.9,13.6,33.2,194.8,92.6,99.4,48.2,57.6,704.6,"Wetland",3,3,"Omnivore","Herbivore aquatic","Aquatic",20,0,0,0
"Rock Pigeon","ROPI","Columba livia","COLLIV","Nonpasseriformes","Columbiformes","Columbidae","Doves and pigeons",65,"BL3","Rock Pigeon",10,0,0,0,0,0,0,0,60,30,"PlantSeed",0,0,80,20,0,0,0,0,1,0,"Columbidae","Columbiformes",12,2,8,2,10,23.2,12.1,4.3,5,26.5,219.6,98.8,120.4,45.1,105.5,354.2,"Human Modified",3,1,"Herbivore","Granivore","Terrestrial",60,0,1,0
"Rock Wren","ROWR","Salpinctes obsoletus","SALOBS","Passeriformes","Passeriformes","Troglodytidae","Wrens",162,"BL3","Rock Wren",80,0,20,0,0,0,0,0,0,0,"Invertebrate",0,0,100,0,0,0,0,0,1,0,"Troglodytidae","Passeriformes",5,2,3,0,4,19.9,12.6,2.9,3.4,20.1,69,11.8,56.6,17.3,55.6,16.4,"Rock",3,1,"Carnivore","Invertivore","Terrestrial",0,0,0,1
"Rosy-faced Lovebird","RFLO","Agapornis roseicollis","AGAROS","Nonpasseriformes","Psittaciformes","Psittacidae","Parrots",68,"BL3","Rosy-faced Lovebird",0,0,0,0,0,0,0,0,70,30,"PlantSeed",0,0,50,50,0,0,0,0,1,0,"Psittaculidae","Psittaciformes",5,2,3,0,4,19.4,17.2,10.6,17.7,13.4,100.8,41.1,59.9,40.7,45.8,53.8,"Shrubland",2,1,"Herbivore","Granivore","Terrestrial",70,0,1,0
"Rough-legged Hawk","RLHA","Buteo lagopus","BUTLAG","Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles",36,"BL3","Rough-legged Hawk",10,80,0,10,0,0,0,0,0,0,"VertFishScav",0,0,100,0,0,0,0,0,1,0,"Accipitridae","Accipitriformes",7,3,4,0,4,34.5,20.2,11.7,15.9,72.3,428.3,180.3,248.5,42.1,240,949.8,"Grassland",3,3,"Carnivore","Vertivore","Insessorial",0,0,0,0
"Ruby-crowned Kinglet","RCKI","Corthylio calendula","CORCAL","Passeriformes","Passeriformes","Reguliidae","Goldcrests and kinglets",166,"BL3","Ruby-crowned Kinglet",80,0,0,0,0,0,0,0,20,0,"Invertebrate",0,0,0,50,50,0,0,0,1,0,"Regulidae","Passeriformes",5,2,3,0,4,10.6,6.3,2.7,2.2,18.4,58,12.6,44.9,22,42.2,6.2,"Forest",1,3,"Carnivore","Invertivore","Insessorial",20,0,0,1
"Ruddy Duck","RUDU","Oxyura jamaicensis","OXYJAM","Nonpasseriformes","Anseriformes","Anatidae","Ducks, geese and swans",14,"BL3","Ruddy Duck",60,0,0,0,0,0,0,0,40,0,"Invertebrate",100,0,0,0,0,0,0,0,1,0,"Anatidae","Anseriformes",5,2,3,0,4,45.4,24.4,20.9,10.5,31.8,139.6,59.5,82.8,41.9,70.2,608.2,"Wetland",3,1,"Omnivore","Aquatic predator","Aquatic",40,0,1,0
"Rufous Hummingbird","RUHU","Selasphorus rufus","SELRUF","Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds",79,"BL3","Rufous Hummingbird",10,0,0,0,0,0,0,90,0,0,"FruiNect",0,0,0,60,40,0,0,0,1,0,"Trochilidae","Caprimulgiformes",5,2,3,0,4,20.4,15.4,1.6,1.7,2.5,40.7,28.2,13.9,67,29.8,3.5,"Forest",2,1,"Herbivore","Nectarivore","Aerial",0,1,0,0
"Rufous-crowned Sparrow","RCSP","Aimophila ruficeps","AIMRUP","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",192,"BL3","Rufous-crowned Sparrow",50,0,0,0,0,0,0,0,50,0,"Omnivore",0,0,60,20,20,0,0,0,1,0,"Passerellidae","Passeriformes",4,2,2,0,4,14.9,8.2,4.1,5,19.8,59.9,7.7,52.2,12.8,62,18.7,"Shrubland",2,1,"Herbivore","Granivore","Generalist",50,0,1,1
"Sage Thrasher","SATH","Oreoscoptes montanus","OREMON","Passeriformes","Passeriformes","Mimidae","Mockingbirds and thrashers",175,"BL3","Sage Thrasher",80,0,0,0,0,0,10,0,10,0,"Invertebrate",0,0,100,0,0,0,0,0,1,0,"Mimidae","Passeriformes",6,3,3,0,4,20.8,12.1,4.4,5.3,29.4,97.7,25.4,72.3,26,96,44.2,"Shrubland",3,3,"Carnivore","Invertivore","Terrestrial",20,0,0,1
"Sagebrush Sparrow","SABS","Artemisiospiza nevadensis","ARTNEV","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",192,"BL3","Sage Sparrow",60,0,0,0,0,0,0,0,40,0,"Invertebrate",0,0,80,20,0,0,0,0,1,0,"Passerellidae","Passeriformes",2,1,1,0,2,12.9,8.2,5,5.5,21.5,75,14.2,60.8,19,74,18.5,"Shrubland",2,3,"Herbivore","Granivore","Terrestrial",40,0,1,1
"Savannah Sparrow","SAVS","Passerculus sandwichensis","PASSAN","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",192,"BL3","Savannah Sparrow",40,0,0,0,0,0,20,0,30,10,"Omnivore",0,0,80,10,10,0,0,0,1,0,"Passerellidae","Passeriformes",4,1,3,0,4,12.8,8.3,4.1,5.4,20.7,72.8,17.6,55.2,24.1,51.2,20,"Grassland",3,3,"Omnivore","Omnivore","Generalist",50,0,1,1
"Say's Phoebe","SAPH","Sayornis saya","SAYSAY","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Say's Phoebe",90,0,0,0,0,0,10,0,0,0,"Invertebrate",0,0,50,50,0,0,0,0,1,0,"Tyrannidae","Passeriformes",5,2,3,0,4,19.5,11.3,5.4,4.2,20.2,104.4,26.8,77.7,25.6,79.8,20.9,"Forest",3,3,"Carnivore","Invertivore","Insessorial",10,0,0,1
"Scott's Oriole","SCOR","Icterus parisorum","ICTPAR","Passeriformes","Passeriformes","Icteridae","New World blackbirds",190,"BL3","Scott's Oriole",70,0,0,0,0,0,20,10,0,0,"Invertebrate",0,0,20,40,40,0,0,0,1,0,"Icteridae","Passeriformes",5,2,3,0,4,24,15.8,5.3,6.3,22.7,98.9,24,73.7,24.5,87.2,36.5,"Shrubland",3,2,"Carnivore","Invertivore","Insessorial",20,0,0,1
"Sharp-shinned Hawk","SSHA","Accipiter striatus","ACCSTR","Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles",36,"BL3","Sharp-shinned Hawk",0,100,0,0,0,0,0,0,0,0,"VertFishScav",0,0,0,25,25,25,25,0,1,0,"Accipitridae","Accipitriformes",20,8,10,2,16,18.3,10.1,7.3,9.4,49.9,181.6,56.6,126.8,30.7,134.3,130.6,"Forest",1,3,"Carnivore","Vertivore","Aerial",0,0,0,0
"Snow Goose","SNGO","Anser caerulescens","ANSCAE","Nonpasseriformes","Anseriformes","Anatidae","Ducks, geese and swans",14,"BL3","Snow Goose",0,0,0,0,0,0,0,0,10,90,"PlantSeed",0,20,80,0,0,0,0,0,1,0,"Anatidae","Anseriformes",6,2,4,0,4,61.8,36,19.4,24.7,76.7,411.8,214.5,194.2,52.5,123.5,2636.2,"Grassland",3,3,"Herbivore","Herbivore terrestrial","Terrestrial",10,0,0,0
"Snowy Egret","SNEG","Egretta thula","EGRTHU","Nonpasseriformes","Pelecaniformes","Ardeidae","Herons and egrets",25,"BL3","Snowy Egret",50,0,30,20,0,0,0,0,0,0,"Omnivore",0,70,30,0,0,0,0,0,1,0,"Ardeidae","Pelecaniformes",8,1,6,1,4,86.3,69.2,9.4,12,93.3,252.8,79.8,167.3,31.9,110.3,371,"Wetland",3,2,"Carnivore","Aquatic predator","Terrestrial",0,0,0,0
"Song Sparrow","SOSP","Melospiza melodia","MELMEL","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",192,"BL3","Song Sparrow",40,0,0,0,0,0,30,0,30,0,"Omnivore",0,0,70,30,0,0,0,0,1,0,"Passerellidae","Passeriformes",6,2,3,1,5,13.4,8.5,5.3,6.7,21.5,66.3,13.2,52.6,20.1,67.2,21.9,"Shrubland",2,2,"Omnivore","Omnivore","Generalist",60,0,1,1
"Sora","SORA","Porzana carolina","PORCAR","Nonpasseriformes","Gruiformes","Rallidae","Rails, crakes and allies",42,"BL3","Sora",40,0,0,0,0,0,0,0,30,30,"PlantSeed",0,40,40,20,0,0,0,0,1,0,"Rallidae","Gruiformes",8,4,2,2,4,20.4,10.1,3,5.7,30.1,102.5,34.8,69.5,33.4,50.8,74.8,"Wetland",1,3,"Omnivore","Omnivore","Terrestrial",30,0,1,0
"Spotted Sandpiper","SPSA","Actitis macularius","ACTMAC","Nonpasseriformes","Charadriiformes","Scolopacidae","Sandpipers and allies",59,"BL3","Spotted Sandpiper",80,0,0,20,0,0,0,0,0,0,"Invertebrate",0,20,80,0,0,0,0,0,1,0,"Scolopacidae","Charadriiformes",5,3,2,0,4,25.7,16.2,2.7,3.3,24.2,100.4,47.6,52.6,47.5,53,40.4,"Wetland",3,3,"Carnivore","Aquatic predator","Terrestrial",0,0,0,0
"Spotted Towhee","SPTO","Pipilo maculatus","PIPMAC","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",192,"BL3","Spotted Towhee",50,0,0,0,0,0,20,0,30,0,"Omnivore",0,0,70,30,0,0,0,0,1,0,"Passerellidae","Passeriformes",14,6,8,0,13,17.2,10.3,5.9,8,27.9,84.3,11.8,74,13.7,97.6,39.3,"Forest",2,2,"Omnivore","Omnivore","Generalist",50,0,1,1
"Steller's Jay","STJA","Cyanocitta stelleri","CYASTE","Passeriformes","Passeriformes","Corvidae","Crows and jays",147,"BL3","Steller's Jay",20,20,0,0,20,0,20,0,20,0,"Omnivore",0,0,40,20,20,20,0,0,1,0,"Corvidae","Passeriformes",10,2,8,0,4,33.7,21.1,10.2,9.5,43,145.8,20,125.8,13.7,133.2,128,"Forest",1,1,"Omnivore","Omnivore","Insessorial",40,0,1,0
"Summer Tanager","SUTA","Piranga rubra","PIRRUB","Passeriformes","Passeriformes","Cardinalidae","Grosbeaks, saltators and allies",194,"BL3","Summer Tanager",90,0,0,0,0,0,10,0,0,0,"Invertebrate",0,0,0,20,30,30,20,0,1,0,"Cardinalidae","Passeriformes",57,25,29,3,10,19.2,13.3,8.4,9,19.5,92,27.9,67.4,29.2,71.3,29.1,"Forest",1,3,"Carnivore","Invertivore","Insessorial",10,0,0,1
"Swainson's Hawk","SWHA","Buteo swainsoni","BUTSWA","Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles",36,"BL3","Swainson's Hawk",30,60,10,0,0,0,0,0,0,0,"VertFishScav",0,0,20,20,20,20,20,0,1,0,"Accipitridae","Accipitriformes",6,2,3,1,4,35.3,21,13.6,16.6,60.7,383.7,175.2,201.8,46.6,193.6,946.6,"Grassland",3,3,"Carnivore","Vertivore","Insessorial",0,0,0,1
"Swamp Sparrow","SWSP","Melospiza georgiana","MELGEO","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",192,"BL3","Swamp Sparrow",40,0,0,0,0,0,30,0,30,0,"Omnivore",0,0,100,0,0,0,0,0,1,0,"Passerellidae","Passeriformes",5,2,3,0,4,13.9,8.2,4.1,5.2,21.9,62.3,11.9,50.4,19.1,57,16.1,"Wetland",2,3,"Omnivore","Omnivore","Generalist",60,0,1,1
"Townsend's Solitaire","TOSO","Myadestes townsendi","MYATOW","Passeriformes","Passeriformes","Turdidae","Thrushes",178,"BL3","Townsend's Solitaire",50,0,0,0,0,0,20,0,20,10,"Omnivore",0,0,0,0,60,20,20,0,1,0,"Turdidae","Passeriformes",5,2,3,0,4,15.7,8.2,4.4,4.6,20.9,113.3,34.3,80.6,29.9,103,33.2,"Forest",2,2,"Omnivore","Omnivore","Insessorial",40,0,1,1
"Townsend's Warbler","TOWA","Setophaga townsendi","SETTOW","Passeriformes","Passeriformes","Parulidae","New World warblers",171,"BL3","Townsend's Warbler",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,0,20,0,80,0,0,1,0,"Parulidae","Passeriformes",15,6,9,0,10,12.4,7.4,3,3.2,18.2,63.8,17.7,46.1,27.8,49.5,8.8,"Forest",1,3,"Carnivore","Invertivore","Insessorial",0,0,0,1
"Tree Swallow","TRES","Tachycineta bicolor","TACBIC","Passeriformes","Passeriformes","Hirundinidae","Swallows and martins",156,"BL3","Tree Swallow",90,0,0,0,0,0,10,0,0,0,"Invertebrate",0,0,20,20,20,20,20,0,1,0,"Hirundinidae","Passeriformes",10,4,6,0,4,10.8,5.9,3.8,2.8,12.2,115.9,61.3,54.3,53,54,21.2,"Wetland",3,3,"Carnivore","Invertivore","Aerial",10,0,0,1
"Turkey Vulture","TUVU","Cathartes aura","CAEAUR","Nonpasseriformes","Accipitriformes","Cathartidae","New World vultures",34,"BL3","Turkey Vulture",0,0,0,0,0,100,0,0,0,0,"VertFishScav",0,0,100,0,0,0,0,0,1,0,"Cathartidae","Cathartiformes",6,0,2,4,4,51.5,27.6,14.3,17.2,54,508.5,135.6,369,26.9,244,1518.2,"Human Modified",3,2,"Scavenger","Scavenger","Terrestrial",0,0,0,0
"Unidentified Accipiter Hawk","UAHA","Accipiter sp.","ACCSPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unidentified Bird","UNBI","Aves (gen, sp)","AVEGSP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unidentified Blackbird","UNBL","Icteridae (gen, sp)","ICTGSP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unidentified Buteo","UNBU","Buteo sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unidentified Calidris Sandpiper","UCSA","Calidris sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unidentified Chordeiles Nighthawk","UCNI","Chordeiles sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unidentified Cormorant","UDCO","Nannopterum sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unidentified Cowbird","UNCO","Molothrus sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unidentified Dove","UDOV","Columbidae (gen, sp)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unidentified Dowitcher","UNDO","Limnodromus sp.","LIMSPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unidentified Duck","UNDU","Anatinae (gen, sp)","ANAGSP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unidentified Egret","UNEG","Ardeidae (gen, sp)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unidentified Egret/Heron","UEHE","Ardeidae (gen, sp)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unidentified Empidonax Flycatcher","UEFL","Empidonax sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unidentified Falcon","UNFA","Falconiformes (gen, sp)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unidentified Flicker","UFLI","Colaptes sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unidentified Flycatcher","UNFL","Colaptes sp.","TYRGEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unidentified Gnatcatcher","UNGN","Polioptila sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unidentified Goose","UNGO","Anserinae (gen. sp.)","ANSGSP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unidentified Gull","UNGU","Laridae (gen, sp)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unidentified Hawk","UNHA","Accipitridae (gen, sp)","ACCGSP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unidentified Heron","UNHE","Ardeidae (gen, sp)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unidentified House Sparrow or Finch","UNFI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unidentified Hummingbird","UNHU","Trochilidae (gen, sp)","TRCGSP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"Unidentified Ibis","UNIB","Plegadis sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unidentified Jay","UJAY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unidentified Kingbird","UNKI","Tyrannus sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
