"common_name","code","sci_name","code6","PassNonPass","IOCOrder","BLFamilyLatin","BLFamilyEnglish","BLFamSequID","Taxo","English","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","ForStrat.SpecLevel","Nocturnal","Family","Order","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Diet.FruitSeed","Pollinator","SeedDisperser","Insectivore"
"Gambel's Quail","GAQU","Callipepla gambelii","CALGAM","Nonpasseriformes","Galliformes","Odontophoridae","New World quails",10,"BL3","Gambel's Quail",10,0,0,0,0,0,0,0,40,50,"PlantSeed",0,0,100,0,0,0,0,0,1,0,"Odontophoridae","Galliformes",4,2,2,0,4,14.9,9.6,6.3,6.6,30.7,112.8,32,80.8,28.4,87.8,166,"Shrubland",2,1,"Herbivore","Omnivore","Terrestrial",40,0,1,0
"Gila Woodpecker","GIWO","Melanerpes uropygialis","MELURO","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Gila Woodpecker",40,10,10,0,0,0,20,10,10,0,"Omnivore",0,0,20,20,40,20,0,0,1,0,"Picidae","Piciformes",5,2,3,0,4,29.5,21.2,6.4,6.5,19.9,131.4,28.6,102.7,21.8,90.6,64.7,"Shrubland",3,1,"Omnivore","Omnivore","Insessorial",30,0,1,1
"Gilded Flicker","GIFL","Colaptes chrysoides","COLCHR","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Gilded Flicker",60,0,0,0,0,0,20,0,20,0,"Invertebrate",0,0,60,20,20,0,0,0,1,0,"Picidae","Piciformes",5,2,3,0,4,36.3,28,8.3,7.6,26.4,138.4,38,100,27.5,94.4,111,"Shrubland",2,1,"Omnivore","Invertivore","Terrestrial",40,0,1,1
"Glossy Ibis","GLIB","Plegadis falcinellus","PLEFAL","Nonpasseriformes","Pelecaniformes","Threskiornithidae","Ibises and spoonbills",24,"BL3","Glossy Ibis",80,0,10,10,0,0,0,0,0,0,"Invertebrate",0,50,50,0,0,0,0,0,1,0,"Threskiornithidae","Pelecaniformes",8,4,4,0,4,117.2,102.8,10.4,13.9,86.4,274.8,104.7,165.3,38.9,102.7,626.6,"Wetland",3,2,"Carnivore","Aquatic predator","Terrestrial",0,0,0,0
"Golden Eagle","GOEA","Aquila chrysaetos","AQUCHR","Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles",36,"BL3","Golden Eagle",0,80,10,0,0,10,0,0,0,0,"VertFishScav",0,0,100,0,0,0,0,0,1,0,"Accipitridae","Accipitriformes",8,2,6,0,8,56.8,37,18.5,28.4,101.4,603.1,221.2,381.9,36.7,307.1,4248,"Grassland",3,2,"Carnivore","Vertivore","Aerial",0,0,0,0
"Golden-crowned Kinglet","GCKI","Regulus satrapa","REGSAT","Passeriformes","Passeriformes","Reguliidae","Goldcrests and kinglets",166,"BL3","Golden-crowned Kinglet",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,0,50,50,0,0,0,1,0,"Regulidae","Passeriformes",5,2,3,0,4,9,5.4,2.1,2.5,16.2,57.2,13.4,43.4,23.6,42.8,6.2,"Forest",1,3,"Carnivore","Invertivore","Insessorial",0,0,0,1
"Gray Flycatcher","GRFL","Empidonax wrightii","EMPWRI","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Grey Flycatcher",90,0,0,0,0,0,10,0,0,0,"Invertebrate",0,0,50,50,0,0,0,0,1,0,"Tyrannidae","Passeriformes",4,1,3,0,4,14.8,8.6,4.5,3.6,18,72,15.3,56.7,21.3,60.6,12.3,"Shrubland",2,3,"Carnivore","Invertivore","Insessorial",10,0,0,1
"Gray Vireo","GRVI","Vireo vicinior","VIRVIC","Passeriformes","Passeriformes","Vireonidae","Vireos and allies",141,"BL3","Grey Vireo",70,0,0,0,0,0,0,0,0,30,"Invertebrate",0,0,0,50,50,0,0,0,NA,NA,"Vireonidae","Passeriformes",11,2,9,0,4,13.7,7.3,4.4,4.7,19.9,63.6,9.8,53.8,15.5,56.8,12.8,"Forest",2,3,"Carnivore","Invertivore","Insessorial",0,0,0,1
"Great Blue Heron","GBHE","Ardea herodias","ARDHER","Nonpasseriformes","Pelecaniformes","Ardeidae","Herons and egrets",25,"BL3","Great Blue Heron",30,10,10,50,0,0,0,0,0,0,"VertFishScav",0,60,40,0,0,0,0,0,1,0,"Ardeidae","Pelecaniformes",5,2,2,1,4,143.9,106,15.9,24.2,167.6,466.4,169.5,294,36.6,165.3,2523.4,"Wetland",3,2,"Carnivore","Aquatic predator","Terrestrial",0,0,0,0
"Great Egret","GREG","Ardea alba","ARDALB","Nonpasseriformes","Pelecaniformes","Ardeidae","Herons and egrets",25,"BL3","Great Egret",40,10,30,20,0,0,0,0,0,0,"VertFishScav",0,50,50,0,0,0,0,0,1,0,"Ardeidae","Pelecaniformes",16,4,7,5,8,126.3,90.4,12,18.1,141.6,378.8,120.7,257.2,32.1,140.5,871.3,"Wetland",3,2,"Carnivore","Aquatic predator","Terrestrial",0,0,0,0
"Great Horned Owl","GHOW","Bubo virginianus","BUBVIR","Nonpasseriformes","Strigiformes","Strigidae","Owls",71,"BL3","Great Horned Owl",10,90,0,0,0,0,0,0,0,0,"VertFishScav",0,10,80,10,0,0,0,0,1,1,"Strigidae","Strigiformes",9,4,4,1,8,42.2,22.5,14.9,22.8,70.1,351.7,112.9,240.9,32,188.4,1354.5,"Forest",2,1,"Carnivore","Vertivore","Insessorial",0,0,0,0
"Great-tailed Grackle","GTGR","Quiscalus mexicanus","QUIMEX","Passeriformes","Passeriformes","Icteridae","New World blackbirds",190,"BL3","Great-tailed Grackle",80,0,0,0,0,0,0,0,20,0,"Invertebrate",0,0,80,10,10,0,0,0,1,0,"Icteridae","Passeriformes",18,8,10,0,4,43.3,29.2,8.2,11.5,47.9,168.6,46,126.4,26.8,170.1,160.5,"Human Modified",3,1,"Omnivore","Omnivore","Terrestrial",20,0,0,1
"Greater Roadrunner","GRRO","Geococcyx californianus","GEOCAL","Nonpasseriformes","Cuculiformes","Cuculidae","Cuckoos",67,"BL3","Greater Roadrunner",30,30,20,0,0,10,10,0,0,0,"VertFishScav",0,0,100,0,0,0,0,0,1,0,"Cuculidae","Cuculiformes",5,3,2,0,4,57.8,35.4,10.1,12.5,59.5,181,12,172,6.5,287.4,376,"Shrubland",2,1,"Carnivore","Invertivore","Terrestrial",10,0,0,1
